kata,kelas
menyetel-nyetel,Verba
menyetelengkan,Verba
menyetem,Verba
menyeterui,Verba
menyetik,Verba
menyetimbangkan,Verba
menyetip,Verba
menyetir,Verba
menyetop,Verba
menyetor,Verba
menyetorkan,Verba
menyetrap,Verba
menyetrika,Verba
menyetrip,Verba
menyetrum,Verba
menyetubuhi,Verba
menyetui,Verba
menyetujui,Verba
menyetujukan,Verba
menyetum,Verba
menyetup,Verba
menyewa,Verba
menyewakan,Verba
menyewat,Verba
menyia-nyiakan,Verba
menyiagakan,Verba
menyiah,Verba
menyiahkan,Verba
menyialkan,Verba
menyiang,Verba
menyiangi,Verba
menyiapkan,Verba
menyiar,Verba
menyiarkan,Verba
menyiasat,Verba
menyiasati,Verba
menyiasatkan,Verba
menyiat,Verba
menyibak,Verba
menyibak-nyibak,Verba
menyibakkan,Verba
menyibuk,Verba
menyibukkan,Verba
menyibur,Verba
menyidai,Verba
menyidaikan,Verba
menyidangkan,Verba
menyidik,Verba
menyiduk,Verba
menyifati,Verba
menyifatkan,Verba
menyigai,Verba
menyigapkan,Verba
menyigar,Verba
menyigi,Verba
menyigung,Verba
menyihir,Verba
menyihiri,Verba
menyihirkan,Verba
menyikap,Verba
menyikapi,Verba
menyikat,Verba
menyiksa,Verba
menyiksai,Verba
menyiku,Verba
menyikukan,Verba
menyikut,Verba
menyilakan,Verba
menyilam,Verba
menyilamkan,Verba
menyilang,Verba
menyilangi,Verba
menyilangkan,Verba
menyilap,Verba
menyilat,Verba
menyilau,Verba
menyilaukan,Verba
menyilet,Verba
menyilet-nyilet,Verba
menyilih,Verba
menyilik,Verba
menyilukan,Verba
menyimak,Verba
menyimbah,Verba
menyimbahkan,Verba
menyimbang,Verba
menyimbek,Verba
menyimbolkan,Verba
menyimbur,Verba
menyimburi,Verba
menyimburkan,Verba
menyimpai,Verba
menyimpaikan,Verba
menyimpan,Verba
menyimpang,Verba
menyimpangkan,Verba
menyimpani,Verba
menyimpankan,Verba
menyimpirkan,Verba
menyimpuk,Verba
menyimpul,Adjektiva
menyimpulkan,Verba
menyimulasi,Verba
menyimulasikan,Verba
menyinambungkan,Verba
menyinar,Verba
menyinari,Verba
menyinarkan,Verba
menyinden,Verba
menyindir,Verba
menyindirkan,Verba
menyinergikan,Verba
menyinetronkan,Verba
menyinggahi,Verba
menyinggahkan,Verba
menyinggang,Verba
menyinggir,Verba
menyinggit,Verba
menyinggul,Verba
menyinggung,Verba
menyingit,Verba
menyingkap,Verba
menyingkapkan,Verba
menyingkat,Verba
menyingkatkan,Verba
menyingkir,Verba
menyingkiri,Verba
menyingkirkan,Verba
menyingkur,Verba
menyingsatkan,Verba
menyingsetkan,Verba
menyingsing,Verba
menyingsingkan,Verba
menyinkronkan,Verba
menyinter,Verba
menyintesis,Verba
menyintuk,Verba
menyintukkan,Verba
menyintung,Verba
menyinyalir,Verba
menyipat,Verba
menyipati,Verba
menyipatkan,Verba
menyipi,Verba
menyipilkan,Verba
menyipitkan,Verba
menyiput,Verba
menyiram,Verba
menyirami,Verba
menyiramkan,Verba
menyirapkan,Verba
menyirat,Verba
menyiratkan,Verba
menyirep,Verba
menyirepi,Verba
menyirih,Verba
menyirihi,Verba
menyirihkan,Verba
menyirik,Verba
menyirip,Verba
menyirkulasikan,Verba
menyirnakan,Verba
menyisai,Verba
menyisakan,Verba
menyisi,Verba
menyisih,Verba
menyisihkan,Verba
menyisik,Verba
menyisikan,Verba
menyisiki,Verba
menyisip,Verba
menyisipkan,Verba
menyisir,Verba
menyistemkan,Verba
menyita,Verba
menyitat,Verba
menyitir,Verba
menyiuk,Verba
menyiulkan,Verba
menyoal,Verba
menyoalkan,Verba
menyobat,Verba
menyobati,Verba
menyobek,Verba
menyobek-nyobek,Verba
menyobeki,Verba
menyodet,Verba
menyodok,Verba
menyodomi,Verba
menyodorkan,Verba
menyoga,Verba
menyogok,Verba
menyoja,Verba
menyokom,Verba
menyokomkan,Verba
menyokong,Verba
menyokongkan,Verba
menyolang,Verba
menyolder,Verba
menyolidkan,Verba
menyolusi,Verba
menyomasi,Verba
menyombol,Verba
menyombong,Verba
menyombongi,Verba
menyombongkan,Verba
menyompoh,Verba
menyondang,Verba
menyondong,Verba
menyongket,Verba
menyongsong,Verba
menyontek,Verba
menyontok,Verba
menyonyong,Adjektiva
menyonyor,Adjektiva
menyopani,Verba
menyopankan,Verba
menyopir,Verba
menyopiri,Verba
menyorak-nyorakkan,Verba
menyoraki,Verba
menyorakkan,Verba
menyorong,Verba
menyorong-nyorongkan,Verba
menyorongkan,Verba
menyorot,Verba
menyoroti,Verba
menyorotkan,Verba
menyortir,Verba
menyosialisasi,Verba
menyosialisasikan,Verba
menyosis,Verba
menyosoh,Verba
menyosok,Verba
menyosor,Verba
menyoyak,Verba
menyoyak-nyoyak,Verba
menyua,Verba
menyuak,Verba
menyuakakan,Verba
menyuap,Verba
menyuapi,Verba
menyuapkan,Verba
menyuar,Verba
menyuarakan,Verba
menyuarangkan,Verba
menyuarkan,Verba
menyuasanai,Verba
menyubal,Verba
menyubang,Verba
menyubkontrakkan,Verba
menyublim,Verba
menyubordinasikan,Verba
menyubsider,Verba
menyubsidi,Verba
menyubur,Verba
menyuburkan,Verba
menyubversikan,Verba
menyucihamakan,Verba
menyucikan,Verba
menyudahi,Verba
menyudahkan,Verba
menyudet,Verba
menyudi,Verba
menyudikan,Verba
menyudip,Verba
menyudu,Verba
menyudut,Verba
menyudutkan,Verba
menyugar,Verba
menyugesti,Verba
menyugi,Verba
menyuguhi,Verba
menyuguhkan,Verba
menyugun,Verba
menyugunkan,Verba
menyuji,Verba
menyukai,Verba
menyukakan,Verba
menyukarkan,Verba
menyukat,Verba
menyuke,Nomina
menyukseskan,Verba
menyula,Verba
menyulakan,Verba
menyulam,Verba
menyulang,Verba
menyulangi,Verba
menyulangkan,Verba
menyulap,Verba
menyulih,Verba
menyuling,Verba
menyulingkan,Verba
menyulitkan,Verba
menyuluh,Verba
menyuluhi,Verba
menyulur,Verba
menyulut,Verba
menyumba,Verba
menyumbang,Verba
menyumbangkan,Verba
menyumbar,Verba
menyumbat,Verba
menyumbi,Verba
menyumbui,Verba
menyumbur,Verba
menyumirkan,Verba
menyumpah,Verba
menyumpah-nyumpah,Verba
menyumpahi,Verba
menyumpal,Verba
menyumpalkan,Verba
menyumpit,Verba
menyumsum,Verba
menyunahkan,Verba
menyunam,Verba
menyunamkan,Verba
menyunat,Verba
menyunati,Verba
menyunatkan,Verba
menyunatrasulkan,Verba
menyundak,Verba
menyundal,Verba
menyunduk,Verba
menyunduki,Verba
menyundul,Verba
menyundut,Verba
menyungga,Verba
menyunggi,Verba
menyungging,Verba
menyunggingkan,Verba
menyunggit,Verba
menyungguh-nyungguhi,Verba
menyungguhi,Verba
menyungguhkan,Verba
menyungkah,Verba
menyungkahkan,Verba
menyungkal,Verba
menyungkem,Verba
menyungkit,Verba
menyungkum,Verba
menyungkup,Verba
menyungkupi,Verba
menyungkupkan,Verba
menyungkur,Verba
menyungsang,Verba
menyungsangkan,Verba
menyuntih,Verba
menyuntik,Verba
menyuntikkan,Verba
menyunting,Verba
menyuntingkan,Verba
menyunu,Verba
menyunyi,Verba
menyunyut,Verba
menyupervisi,Verba
menyupit,Verba
menyuplai,Verba
menyuporteri,Verba
menyurai,Verba
menyuram,Verba
menyuramkan,Verba
menyurat,Verba
menyurati,Verba
menyuratkan,Verba
menyurih,Verba
menyurihkan,Verba
menyuruh,Verba
menyuruhkan,Verba
menyuruk,Verba
menyuruk-nyuruk,Verba
menyuruki,Verba
menyurukkan,Verba
menyurut,Verba
menyuruti,Verba
menyurutkan,Verba
menyurvei,Verba
menyusahi,Verba
menyusahkan,Verba
menyusu,Verba
menyusui,Verba
menyusuk,Verba
menyusukan,Verba
menyusul,Verba
menyusuli,Verba
menyusulkan,Verba
menyusun,Verba
menyusunkan,Verba
menyusup,Verba
menyusupkan,Verba
menyusur,Verba
menyusuri,Verba
menyusut,Verba
menyusuti,Verba
menyusutkan,Verba
menyutra,Verba
menyutradarai,Nomina
menyuwir,Verba
menzalimi,Verba
menzalimkan,Verba
menzaman,Verba
menzarah,Verba
menziarahi,Verba
menzikon,Nomina
menzinai,Verba
meong,Nomina
meoswar,Nomina
mepet,Adjektiva
mepid,Nomina
mepido,Nomina
mer,Nomina
mera,Nomina
meraba,Verba
meraba-raba,Verba
merabai,Verba
merabak,Verba
meraban,Verba
merabas,Verba
merabat,Verba
merabet,Verba
merabit,Verba
merabuk,Verba
merabuki,Verba
merabung,Verba
merabuni,Verba
merabunkan,Verba
merabut,Verba
meracak,Verba
meracang,Verba
meracau,Verba
meracik,Verba
meracuh,Verba
meracun,Verba
meracuni,Verba
meradah,Verba
meradai,Verba
meradak,Verba
meradakkan,Verba
meradang,Verba
meradangkan,Verba
meradikalkan,Verba
meradiokan,Verba
meradukan,Verba
meraga,Nomina
meragakan,Verba
meragam,Verba
meragamkan,Verba
meragang,Verba
meragas,Verba
meragi,Nomina
meragikan,Verba
meragu,Verba
meragui,Verba
meraguk,Verba
meragukan,Verba
meragut,Verba
merah,Nomina
merahap,Verba
merahapkan,Verba
merahasiakan,Verba
merahimi,Verba
merahmati,Verba
meraih,Verba
merais,Verba
meraja,Verba
merajah,Verba
merajai,Verba
merajak,Adjektiva
merajakan,Verba
merajalela,Verba
merajam,Verba
merajan,Nomina
merajang,Verba
merajinkan,Verba
merajuk,Verba
merajuki,Verba
merajut,Verba
merak,Nomina
merakah,Verba
merakan,Nomina
merakap,Verba
merakat,Verba
merakeh,Nomina
merakit,Verba
meraksasa,Verba
meraksi,Verba
merakut,Verba
merakyat,Adjektiva
merakyatkan,Verba
meralat,Verba
meralgia,Nomina
meralip,Adjektiva
meramahi,Verba
meramaikan,Verba
meramal,Verba
meramalkan,Verba
merambah,Verba
merambahi,Verba
merambai,Nomina
merambak,Verba
merambakkan,Verba
meramban,Verba
merambang,Verba
merambang-rambang,Verba
merambat,Verba
merambatkan,Verba
merambeh,Verba
merambung,Nomina
merambut,Verba
meraminkan,Verba
merampai,Verba
merampaikan,Verba
merampak,Verba
merampas,Verba
merampasi,Verba
merampat,Verba
merampatkan,Verba
meramping,Adjektiva
merampingkan,Verba
merampok,Verba
merampungkan,Verba
merampus,Verba
meramu,Verba
meramus,Verba
merana,Adjektiva
meranap,Verba
meranca,Verba
merancak,Verba
merancang,Verba
merancangkan,Verba
merancap,Verba
merancukan,Verba
merancung,Verba
meranda,Verba
merandai,Verba
merandak,Verba
merandang,Verba
merandat,Verba
merandatkan,Verba
merandau,Verba
merandaukan,Verba
merandek,Verba
meranduk,Verba
merandungkan,Verba
merang,Nomina
merangah,Verba
merangai,Verba
merangak,Verba
meranggah,Verba
meranggakkan,Verba
meranggas,Verba
meranggi,Nomina
meranggikan,Verba
meranggitkan,Verba
meranggul,Verba
meranggung,Verba
merangin,Nomina
merangkai,Verba
merangkaikan,Verba
merangkak,Verba
merangkak-rangkak,Verba
merangkakan,Verba
merangkaki,Verba
merangkakkan,Verba
merangkam,Verba
merangkang,Verba
merangkap,Verba
merangkapkan,Verba
merangket,Verba
merangkul,Verba
merangkum,Verba
merangkumkan,Verba
merangkung,Verba
merangkup,Verba
merangkus,Verba
merangkut,Verba
merangsang,Verba
merangsangkan,Verba
merangsek,Verba
merangsi,Nomina
merangu,Nomina
merangum,Verba
meranjangkan,Verba
meranjat,Nomina
meransum,Verba
merantai,Verba
merantang,Verba
merantas,Verba
merantau,Verba
meranti,Nomina
meranting,Verba
merantuk,Verba
merantukkan,Verba
meranyah,Verba
meranyau,Verba
meranyun,Verba
merapah,Verba
merapai,Verba
merapal,Verba
merapat,Verba
merapati,Verba
merapatkan,Verba
merapel,Verba
merapik,Verba
merapikan,Verba
meraporkan,Verba
merapu,Nomina
merapuh,Verba
merapuhkan,Verba
merapun,Verba
merapung,Verba
merapungkan,Verba
merapus,Verba
merarai,Verba
merarasi,Verba
merarik,Verba
merasa,Verba
merasa-rasai,Verba
merasai,Verba
merasaikan,Verba
merasakan,Verba
merasani,Verba
merasi,Verba
merasiankan,Verba
merasikan,Verba
merasionalisasi,Verba
merasionalkan,Verba
merasuk,Verba
merasuki,Verba
merat,Verba
merata,Verba
merata-ratakan,Verba
meratah,Verba
meratai,Verba
meratakan,Verba
meratap,Verba
meratapi,Verba
meratib,Verba
meratibkan,Verba
meratifikasi,Verba
meratus,Verba
merauke,Nomina
meraum,Verba
meraun,Verba
meraung,Verba
meraung-raung,Verba
meraung-raungkan,Verba
meraup,Verba
meraut,Verba
merawai,Verba
merawak,Verba
merawal,Nomina
merawan,Nomina
merawang,Verba
merawankan,Verba
merawat,Verba
merawatkan,Verba
merawi,Verba
merawikan,Verba
merawit,Verba
merayah,Verba
merayahi,Verba
merayakan,Verba
merayan,Nomina
merayang,Verba
merayap,Verba
merayapi,Verba
merayau,Verba
merayau-rayau,Verba
merayu,Verba
merayu-rayu,Verba
merayukan,Verba
merazia,Verba
merbah,Nomina
merbau,Nomina
merbuk,Nomina
merbulan,Nomina
mercak-mercik,Verba
mercon,Nomina
mercu,Nomina
mercusuar,Nomina
merdangga,Nomina
merdeka,Adjektiva
merdesa,Adjektiva
merdinah,Nomina
merdu,Adjektiva
merduk,Nomina
mere,Nomina
mereaksi,Verba
merealisasi,Verba
mereasuransi,Verba
merebah,Verba
merebahkan,Nomina
merebak,Verba
merebankan,Verba
merebat,Verba
merebeh,Verba
merebu,Verba
merebuk,Verba
merebung,Verba
merebus,Verba
merebut,Verba
merebutkan,Verba
merecak,Verba
merecik,Verba
merecikkan,Nomina
merecok,Verba
merecoki,Verba
merecup,Verba
mereda,Verba
meredah,Verba
meredai,Verba
meredakan,Verba
meredam,Verba
meredamkan,Verba
meredih,Verba
meredik,Verba
meredistribusikan,Verba
mereduksi,Verba
meredup,Verba
meredupkan,Verba
meredusir,Verba
meredut,Verba
mereekspor,Verba
mereferensikan,Verba
merefleksikan,Verba
mereformasi,Verba
merefraksikan,Verba
meregah,Verba
meregang,Verba
meregangkan,Verba
meregas,Verba
meregat,Verba
meregenerasi,Verba
meregistrasi,Verba
mereguk,Verba
meregup,Verba
merehab,Verba
merehabilitasi,Verba
merehabilitasikan,Verba
merejah,Verba
merejahkan,Verba
merejan,Verba
merejang,Verba
merejeng,Verba
merejuk,Verba
merejuvenasi,Verba
merek,Nomina
mereka,Pronomina
mereka-reka,Verba
merekah,Verba
merekam,Verba
merekamkan,Verba
merekan,Verba
merekap,Verba
merekapitulasi,Verba
merekat,Verba
merekatkan,Verba
merekayasa,Verba
mereken,Verba
merekes,Verba
mereklamasikan,Verba
merekomendasi,Verba
merekomendasikan,Verba
merekondisi,Verba
merekonstruksi,Verba
merekrut,Verba
merelai,Verba
merelakan,Verba
merelaksasi,Verba
merelaksasikan,Verba
merelang,Verba
merelap,Verba
merelap-relap,Verba
merelas,Verba
merelatifkan,Verba
merelevansi,Verba
merelokasi,Verba
merelung,Verba
merem,Nomina
merem-merem,Verba
meremah-remah,Verba
meremahkan,Verba
meremajakan,Verba
meremang,Verba
meremangkan,Verba
meremas,Verba
meremas-remas,Verba
merembah,Verba
merembes,Verba
merembesi,Verba
merembeskan,Verba
merembet,Verba
merembetkan,Verba
merembih,Verba
merembukkan,Verba
merembung,Nomina
meremediasi,Verba
meremeh-temehkan,Verba
meremehkan,Verba
meremet,Verba
meremoh,Verba
merempa,Verba
merempah,Verba
merempah-rempah,Verba
merempah-rempahi,Verba
merempahi,Verba
merempuh,Verba
meremukkan,Verba
merenangi,Verba
merenangkan,Verba
merencah,Verba
merencam,Adjektiva
merencana,Verba
merencanakan,Verba
merenda,Verba
merendah,Verba
merendahkan,Verba
merendai,Verba
merendam,Verba
merendami,Verba
merendamkan,Verba
merendang,Verba
merendengkan,Verba
merenduk,Verba
merenek,Verba
merengap,Verba
merengas,Verba
merengat,Verba
merengatkan,Verba
merengeh,Verba
merengek,Verba
merengek-rengek,Verba
merengeki,Verba
merengeng-rengeng,Verba
merenggang,Verba
merenggangi,Verba
merenggangkan,Verba
merenggut,Verba
merengkah,Verba
merengkeh,Verba
merengket,Verba
merengkuh,Verba
merengsa,Verba
merengus,Adjektiva
merengut,Verba
merenik-renik,Verba
merenjeng,Verba
merenjis,Verba
merenjiskan,Verba
merenovasi,Verba
merenta-renta,Verba
merentak,Verba
merentan,Verba
merentang,Verba
merentang-rentang,Verba
merentangi,Verba
merentangkan,Verba
merentap,Verba
merentapkan,Verba
merentas,Verba
merenteng,Verba
merenteni,Verba
merentenkan,Verba
merentik,Verba
merentikan,Verba
merenung,Verba
merenungi,Verba
merenungkan,Verba
merenyah,Verba
merenyai-renyai,Verba
merenyeh,Verba
merenyok,Verba
merenyuk,Verba
merenyukkan,Verba
merenyut,Nomina
merepang,Verba
mereparasi,Verba
merepatriasi,Verba
merepes,Verba
merepet,Verba
mereplika,Verba
mereplikasi,Verba
mereportasekan,Verba
mereposisi,Verba
merepotkan,Verba
merepresentasikan,Verba
mereproduksi,Verba
mererak,Verba
mererot,Verba
meres,Adjektiva
meresah,Verba
meresahkan,Verba
meresan,Verba
meresap,Verba
meresapi,Verba
meresapkan,Verba
meresek-resek,Verba
meresensi,Verba
meresepkan,Verba
meresik,Verba
meresmikan,Verba
meresosialisasi,Verba
merespons,Verba
merestorasi,Verba
merestrukturisasi,Verba
merestui,Verba
meresumekan,Verba
mereta-reta,Verba
meretak,Verba
meretakkan,Verba
meretas,Verba
meretek,Verba
meretih,Adjektiva
meretok,Verba
meretur,Verba
merevaluasi,Verba
merevisi,Verba
merevitalisasi,Verba
merevolusi,Verba
merewak,Verba
merewang,Verba
merewet,Verba
mergat,Nomina
merger,Nomina
mergul,Nomina
meri,Nomina
meriah,Adjektiva
meriam,Nomina
meriang,Adjektiva
meriangkan,Verba
meriap,Verba
meriapkan,Verba
merias,Verba
meriba,Verba
meribi,Adjektiva
meribungan,Nomina
meribut,Verba
meributkan,Verba
merica,Nomina
mericau,Verba
mericik,Verba
meridai,Verba
meridian,Nomina
meridional,Adjektiva
merih,Nomina
merik,Nomina
merikan,Nomina
merikarp,Nomina
merikuhkan,Verba
merilekskan,Verba
merilis,Verba
merimaskan,Verba
merimba,Verba
merimbas,Verba
merimbun,Verba
merimpuhkan,Verba
merimpung,Verba
merinai,Verba
merinaikan,Verba
merincis,Verba
merincukan,Verba
merindang,Verba
merinding,Adjektiva
merindingkan,Verba
merindu,Verba
merindui,Verba
merindukan,Verba
meringankan,Verba
meringgiti,Verba
meringih,Verba
meringik,Verba
meringis,Verba
meringkai,Verba
meringkaikan,Verba
meringkas,Verba
meringkaskan,Verba
meringkik,Verba
meringking,Verba
meringkuk,Verba
meringkukkan,Verba
meringkus,Verba
meringsing,Verba
meringue,Nomina
merintang,Verba
merintang-rintang,Verba
merintangi,Verba
merintangkan,Verba
merintas,Verba
merintih,Verba
merintik-rintik,Verba
merintis,Verba
merintofobia,Nomina
merisak,Verba
merisau,Verba
merisaukan,Verba
meriset,Verba
merisik,Verba
merisikkan,Verba
meristele,Nomina
meristem,Nomina
meristik,Nomina
meritokrasi,Nomina
meritul,Verba
meritus,Ungkapan
meriung,Verba
meriwayatkan,Verba
merjan,Nomina
merkantilisme,Nomina
merkaras,Nomina
merkatak,Nomina
merkubang,Nomina
merkuri,Nomina
merkurimetri,Nomina
merkurium,Nomina
merkurius,Nomina
merkuro,Nomina
merkurokrom,Nomina
merlilin,Nomina
merlimau,Nomina
merobek,Verba
merobek-robek,Verba
merobohkan,Verba
merobok,Verba
merobot,Verba
meroda,Verba
merodok,Verba
merodong,Verba
merodongkan,Verba
meroepipelagik,Nomina
merogoh,Verba
merogok,Verba
merogol,Verba
merogoni,Nomina
merojeng,Verba
merojol,Verba
merok,Nomina
meroket,Verba
merokok,Verba
meroma,Verba
meromantisisme,Verba
merombak,Verba
merombengkan,Verba
merombong,Verba
meromet,Verba
meromiktik,Nomina
meromiosin,Nomina
meromok,Verba
merompak,Verba
merompes,Verba
merompongkan,Verba
meromusakan,Verba
merona,Verba
meronce,Verba
meronda,Verba
merondok,Verba
merondokkan,Verba
meroneo,Verba
merongga,Verba
meronggakan,Verba
meronggeng,Verba
meronggong,Verba
merongkok,Verba
merongos,Verba
merongrong,Verba
merongseng,Verba
meronim,Nomina
meronimi,Nomina
meronta,Verba
meronta-ronta,Verba
merontgen,Verba
merontokkan,Verba
meronyeh,Verba
meronyok,Verba
meroplankton,Nomina
merorod,Verba
merorok,Verba
meroset,Verba
merosok,Verba
merosokkan,Verba
merosot,Verba
merosotkan,Verba
merot,Adjektiva
merotan,Verba
merotasi,Verba
merotok,Verba
merowot,Verba
meroyak,Verba
meroyan,Verba
meroyer,Verba
merpati,Nomina
merpaud,Nomina
merpitis,Nomina
merpoyan,Nomina
mers,Nomina
merserisasi,Nomina
mersik,Adjektiva
mertamu,Verba
mertapal,Nomina
mertayam,Nomina
mertelu,Nomina
mertua,Nomina
meru,Nomina
merua,Verba
meruah,Verba
meruahkan,Verba
meruak,Verba
meruang,Verba
meruap,Verba
meruap-ruap,Verba
meruban,Verba
merubi,Adjektiva
merubu,Verba
merubu-rubu,Verba
merubung,Verba
merudal,Verba
merudu,Verba
merugi,Verba
merugikan,Verba
meruing,Verba
merujah,Verba
merujak,Verba
meruji,Verba
merujuk,Verba
merujuki,Verba
merukiah,Verba
meruku,Verba
merukuk,Verba
merukunkan,Verba
merumahkan,Verba
merumahsakitkan,Verba
merumbai,Verba
merumbu,Verba
merumitkan,Verba
merumpi,Verba
merumponkan,Verba
merumpun,Verba
merumput,Verba
merumputi,Verba
merumrum,Verba
merumuk,Verba
merumung,Verba
merumuskan,Verba
meruncing,Verba
meruncingkan,Verba
merunding,Verba
merundingkan,Verba
merunduk,Verba
merundukkan,Verba
merundung,Verba
merunggai,Nomina
merunggas,Verba
merungguh,Verba
merungguhkan,Verba
merunggut,Verba
merungkau,Verba
merungkup,Verba
merungus,Verba
merungus-rungus,Verba
merungut,Verba
merungut-rungut,Verba
merungutkan,Verba
merunjam,Verba
merunjang,Verba
merunjau,Verba
merunjung,Verba
meruntai,Verba
meruntas,Verba
merunti,Verba
meruntih,Verba
meruntuh,Verba
meruntuhkan,Verba
meruntun,Verba
meruntunkan,Verba
merunut,Verba
merunuti,Verba
merunyamkan,Verba
merunyut,Verba
meruok,Verba
merupa,Verba
merupai,Verba
merupakan,Verba
merurut,Verba
merusak,Verba
merusaki,Verba
merusakkan,Verba
merusmus,Verba
merusuh,Verba
merusuhi,Verba
merusuhkan,Verba
merusuk,Verba
merutinkan,Verba
merutuk,Verba
merutup,Verba
meruwat,Verba
meruwetkan,Verba
meruyak,Verba
meruyupkan,Verba
merwatin,Verba
mes,Nomina
mesa,Nomina
mesan,Nomina
mesara,Nomina
mesem,Verba
meses,Nomina
mesias,Nomina
mesik,Adjektiva
mesin,Nomina
mesinisasi,Nomina
mesir,Nomina
mesiu,Nomina
meskalina,Nomina
meski,Partikel
meskipun,Partikel
mesmerisme,Nomina
mesoderm,Nomina
mesodermik,Adjektiva
mesofil,Nomina
mesofili,Nomina
mesofit,Nomina
mesohalin,Nomina
mesokarp,Nomina
mesolitik,Nomina
mesolitikum,Nomina
mesometeorologi,Nomina
mesomorf,Nomina
mesomorfisme,Nomina
meson,Nomina
mesopause,Nomina
mesopelagik,Adjektiva
mesosenyawa,Nomina
mesosfer,Nomina
mesotel,Nomina
mesotoraks,Nomina
mesotrofik,Adjektiva
mesozoa,Nomina
mesozoikum,Nomina
mesra,Adjektiva
mestakung,Nomina
mesti,Adverbia
mestika,Nomina
mestizo,Ungkapan
mesuji,Nomina
mesum,Adjektiva
mesy,Nomina
meta,Verba
metaanalisis,Nomina
metabahasa,Nomina
metaberkas,Nomina
metabolik,Adjektiva
metabolis,Adjektiva
metabolisasi,Nomina
metabolisme,Nomina
metabolit,Nomina
metabolom,Nomina
metabolomik,Nomina
metabolomika,Nomina
metadata,Nomina
metadinitrobenzena,Nomina
metafil,Nomina
metafisika,Nomina
metafora,Nomina
metaforis,Adjektiva
metagenom,Nomina
metagenomik,Adjektiva
metagenomika,Nomina
metah,Adverbia
metai,Nomina
metai-tai,Nomina
metakognisi,Nomina
metal,Nomina
metaldehida,Nomina
metalik,Adjektiva
metalimnion,Nomina
metalinguistik,Nomina
metaloenzim,Nomina
metalofobia,Nomina
metalofon,Nomina
metalograf,Nomina
metalografi,Nomina
metaloid,Nomina
metaloprotein,Nomina
metalotionin,Nomina
metalurgi,Nomina
metalurgis,Adjektiva
metamaterial,Nomina
metamemori,Nomina
metamer,Nomina
metamerisme,Nomina
metamesta,Nomina
metamfetamina,Nomina
metamorf,Nomina
metamorfis,Adjektiva
metamorfisme,Nomina
metamorfosis,Nomina
metana,Nomina
metandienon,Nomina
metanefros,Nomina
metanogen,Nomina
metanol,Nomina
metaprotein,Nomina
metapusat,Nomina
metari,Nomina
metasenter,Nomina
metastabil,Nomina
metastasis,Nomina
metatarsus,Nomina
metatesiofobia,Nomina
metatesis,Nomina
metaturnal,Adjektiva
metaturnalitas,Nomina
metaverse,Nomina
metazoa,Nomina
mete,Nomina
metemoglobin,Nomina
metempsikosis,Nomina
meteor,Nomina
meteorit,Nomina
meteorofobia,Nomina
meteorograf,Nomina
meteorogram,Nomina
meteoroid,Nomina
meteorologi,Nomina
meteorologis,Adjektiva
meteorologiwan,Nomina
meter,Nomina
meterai,Nomina
meteran,Nomina
metformin,Nomina
metifobia,Nomina
metikal,Nomina
metil,Nomina
metilasi,Nomina
metilena,Nomina
metionina,Nomina
metode,Nomina
metodik,Nomina
metodis,Adjektiva
metodologi,Nomina
metodologis,Adjektiva
metonimia,Nomina
metrik,Nomina
metris,Adjektiva
metro,Nomina
metrofilia,Nomina
metrofobia,Nomina
metrologi,Nomina
metromini,Nomina
metronimik,Nomina
metronom,Nomina
metronomis,Adjektiva
metropolis,Nomina
metropolisasi,Nomina
metropolitan,Nomina
metroragia,Nomina
metroseksual,Nomina
metrum,Nomina
metuna,Nomina
meunasah,Nomina
meurah,Nomina
mewabah,Verba
mewacanakan,Verba
mewadahi,Verba
mewah,Adjektiva
mewahyukan,Verba
mewajarkan,Verba
mewajibkan,Verba
mewakafkan,Verba
mewakili,Verba
mewakilkan,Verba
mewalakkan,Verba
mewalikan,Verba
mewangi,Verba
mewangikan,Verba
mewantek,Verba
mewanti-wanti,Verba
mewara,Verba
mewaralabakan,Verba
mewarganegarakan,Verba
mewari,Verba
mewarisi,Verba
mewariskan,Verba
mewarna-warnikan,Verba
mewarnai,Verba
mewarnakan,Verba
mewartakan,Verba
mewasiatkan,Verba
mewasiti,Verba
mewaspadai,Verba
mewaspadakan,Verba
mewataki,Verba
mewatasi,Verba
mewawancarai,Verba
mewawas,Verba
mewayangkan,Verba
mewedar,Verba
mewedel,Verba
mewejang,Verba
mewek,Verba
mewilayahi,Verba
mewiraswastakan,Verba
mewiridkan,Nomina
mewiru,Verba
mewismakan,Verba
mewisuda,Verba
mewujud,Verba
mewujudkan,Verba
meyach,Nomina
meyah,Nomina
meyak,Nomina
meyakin-yakini,Verba
meyakini,Verba
meyakinkan,Adjektiva
mezanin,Nomina
mezosopran,Nomina
mezzanino,Ungkapan
mezzo,Ungkapan
mezzo-soprano,Ungkapan
mfarm,Nomina
mfarmklin,Nomina
mfili,Nomina
mflops,Nomina
mg,Nomina
mh,Nomina
mhi,Nomina
mhkes,Nomina
mhum,Nomina
mhut,Nomina
mhz,Nomina
mi,Nomina
miak,Nomina
mialgia,Nomina
miana,Nomina
miang,Nomina
mianserin,Nomina
miasma,Nomina
miastenik,Adjektiva
micin,Nomina
microfiche,Ungkapan
midar,Verba
midi,Nomina
midodareni,Nomina
mielin,Nomina
mielinasi,Nomina
mielinisasi,Nomina
mieloma,Nomina
